symbol,type,date,price,shares,cost,pnl
600638,sell,2026-04-24,78.9336,0,,0.0
600638,sell,2026-04-27,76.3556,0,,0.0
600638,sell,2026-04-28,75.2508,0,,0.0
600638,sell,2026-04-29,74.2687,0,,0.0
600638,sell,2026-04-30,74.8825,0,,0.0
600638,sell,2026-05-06,76.7239,0,,0.0
600638,sell,2026-05-07,76.8467,0,,0.0
600638,sell,2026-05-08,76.8467,0,,0.0
600638,sell,2026-05-11,77.5832,0,,0.0
600638,sell,2026-05-12,78.3198,0,,0.0
600638,sell,2026-05-13,79.3018,0,,0.0
600638,sell,2026-05-14,79.7929,0,,0.0
600638,sell,2026-05-15,75.7418,0,,0.0
600638,sell,2026-05-18,74.0232,0,,0.0
600638,sell,2026-05-19,75.2508,0,,0.0
600638,sell,2026-05-20,75.3736,0,,0.0
600638,sell,2026-05-21,74.2687,0,,0.0
600638,sell,2026-05-22,70.9543,0,,0.0
600638,sell,2026-05-25,71.077,0,,0.0
600638,sell,2026-05-26,70.2177,0,,0.0
600638,sell,2026-05-27,69.6039,0,,0.0
600638,sell,2026-05-28,68.1308,0,,0.0
600638,sell,2026-05-29,71.1998,0,,0.0
600638,sell,2026-06-01,68.9901,0,,0.0
600638,sell,2026-06-02,71.6908,0,,0.0
600638,sell,2026-06-03,69.6039,0,,0.0
600638,sell,2026-06-04,66.9032,0,,0.0
600638,sell,2026-06-05,66.0439,0,,0.0
600638,sell,2026-06-08,65.0619,0,,0.0
600638,sell,2026-06-09,5.2695,0,,0.0
600612,buy,2026-06-09,34.8135,1400,48751.06,
600795,buy,2026-06-09,4.9905,10000,49917.47,
600638,sell,2026-06-10,5.1295,1,,-38.88
600629,buy,2026-06-10,15.8016,3100,48997.14,
601369,buy,2026-06-10,8.7809,5600,49185.21,
600638,buy,2026-06-11,5.1505,9700,49972.49,
603499,buy,2026-06-11,17.0117,2900,49346.27,
601633,buy,2026-06-12,17.4117,2800,48765.06,
600686,buy,2026-06-12,12.4112,4000,49657.38,
002065,buy,2026-06-15,7.0507,7000,49367.27,
600415,buy,2026-06-15,11.4211,4300,49123.19,
603499,sell,2026-06-23,14.8485,2900,,-6339.4
603499,buy,2026-06-24,14.7215,3300,48593.0,
600629,sell,2026-06-25,12.9987,3100,,-8751.54
601633,sell,2026-06-25,15.9484,2800,,-4165.35
600415,sell,2026-06-25,9.979,4300,,-6267.12
600638,sell,2026-06-26,4.6095,9700,,-5315.85
600629,buy,2026-06-26,12.4312,4000,49737.4,
601633,buy,2026-06-26,15.6016,3200,49937.47,
600638,buy,2026-06-29,4.4504,11200,49857.45,
600415,buy,2026-06-29,9.721,3200,31114.89,
600686,sell,2026-06-30,11.1289,4000,,-5197.47
603499,sell,2026-06-30,13.2487,3300,,-4927.03
603499,buy,2026-07-01,13.1513,3800,49987.49,
600686,buy,2026-07-01,11.3111,3300,37336.06,
603499,sell,2026-07-14,12.0188,3800,,-4373.15
603499,buy,2026-07-15,11.8112,3800,44893.71,
600686,sell,2026-07-20,10.309,3300,,-3358.99
